doc,name,size_bytes,bucket,ref_total,ref_locks,ref_locks_count,ref_scripts,ref_scripts_count,ref_tests,ref_tests_count,ref_top,ref_top_count,disposition
docs/DETERMINEX_LIVE_REACT_UNIFIED_PRODUCT_SHELL_FINAL_STATE.md,DETERMINEX_LIVE_REACT_UNIFIED_PRODUCT_SHELL_FINAL_STATE.md,1867,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_MAINTENANCE_BAY_DRY_RUN_UPDATE_SPLASH_DEMO.md,DETERMINEX_MAINTENANCE_BAY_DRY_RUN_UPDATE_SPLASH_DEMO.md,1087,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_MAINTENANCE_BAY_WORKFLOW.md,DETERMINEX_MAINTENANCE_BAY_WORKFLOW.md,1244,PER_ROOM_WORKFLOW,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_MATRIX_PROBE_RUNNER.md,DETERMINEX_MATRIX_PROBE_RUNNER.md,1885,MISC,2,locks/sentinel/DETERMINEX_MATRIX_PROBE_RUNNER_LOCK_001.json,1,scripts/status/universal_100_data_plane.py,1,,0,,0,REVIEW
docs/DETERMINEX_MERGE_POINT_FINAL_STATE.md,DETERMINEX_MERGE_POINT_FINAL_STATE.md,959,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROGRAMBENCH_PER_TARGET_UNIFIED_GRAPH_EXPANSION.md,DETERMINEX_PROGRAMBENCH_PER_TARGET_UNIFIED_GRAPH_EXPANSION.md,877,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_CONTROL_PLANE_FINAL_STATE.md,DETERMINEX_PROOF_CONTROL_PLANE_FINAL_STATE.md,718,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_DISCOVERY_ORCHESTRATOR.md,DETERMINEX_PROOF_DISCOVERY_ORCHESTRATOR.md,699,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_EXECUTION_AUDIT_REPAIR.md,DETERMINEX_PROOF_EXECUTION_AUDIT_REPAIR.md,856,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_GAP_PACKETS.md,DETERMINEX_PROOF_GAP_PACKETS.md,724,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_GENERATION_TOOL_ADMISSION.md,DETERMINEX_PROOF_GENERATION_TOOL_ADMISSION.md,873,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD.md,DETERMINEX_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD.md,2681,PER_PROOF_STATUS,2,locks/sentinel/DETERMINEX_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD_LOCK_001.json,1,scripts/status/proof_operator_center_milestone_dashboard.py,1,,0,,0,REVIEW
docs/DETERMINEX_PROOF_OPERATOR_CENTER_VIEWMODEL.md,DETERMINEX_PROOF_OPERATOR_CENTER_VIEWMODEL.md,1260,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_SOURCE_REGISTRY.md,DETERMINEX_PROOF_SOURCE_REGISTRY.md,892,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_PROOF_TYPE_AUTHORITY_MATRIX.md,DETERMINEX_PROOF_TYPE_AUTHORITY_MATRIX.md,932,PER_PROOF_STATUS,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_DEMO_NAVIGATION_HAPPY_BLOCKED_PATH.md,DETERMINEX_REACT_DEMO_NAVIGATION_HAPPY_BLOCKED_PATH.md,1403,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_IDEA_LAB_PANEL.md,DETERMINEX_REACT_IDEA_LAB_PANEL.md,1156,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_IDEA_LAB_VERIFIED_DEMO_STATUS_BINDING.md,DETERMINEX_REACT_IDEA_LAB_VERIFIED_DEMO_STATUS_BINDING.md,1943,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_LEARNING_STUDIO_PANEL.md,DETERMINEX_REACT_LEARNING_STUDIO_PANEL.md,1148,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_LEARNING_STUDIO_VERIFIED_DEMO_STATUS_BINDING.md,DETERMINEX_REACT_LEARNING_STUDIO_VERIFIED_DEMO_STATUS_BINDING.md,5511,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_MAINTENANCE_BAY_PANEL.md,DETERMINEX_REACT_MAINTENANCE_BAY_PANEL.md,942,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_MAINTENANCE_BAY_VERIFIED_DEMO_STATUS_BINDING.md,DETERMINEX_REACT_MAINTENANCE_BAY_VERIFIED_DEMO_STATUS_BINDING.md,3823,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_PRODUCT_SHELL_BROWSER_SNAPSHOT.md,DETERMINEX_REACT_PRODUCT_SHELL_BROWSER_SNAPSHOT.md,1540,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD_BINDING.md,DETERMINEX_REACT_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD_BINDING.md,7295,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_PROOF_OPERATOR_CENTER_PANEL.md,DETERMINEX_REACT_PROOF_OPERATOR_CENTER_PANEL.md,1153,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_RELEASE_READINESS_BLOCKER_PANEL.md,DETERMINEX_REACT_RELEASE_READINESS_BLOCKER_PANEL.md,1381,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_REPO_CLINIC_PANEL.md,DETERMINEX_REACT_REPO_CLINIC_PANEL.md,1093,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_REPO_CLINIC_VERIFIED_DEMO_STATUS_BINDING.md,DETERMINEX_REACT_REPO_CLINIC_VERIFIED_DEMO_STATUS_BINDING.md,3016,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_SPLASH_DEMO_PANEL.md,DETERMINEX_REACT_SPLASH_DEMO_PANEL.md,1075,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_UNIFIED_NAVIGATION_PANEL.md,DETERMINEX_REACT_UNIFIED_NAVIGATION_PANEL.md,1310,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REACT_USER_LEVEL_TEACHING_MODE.md,DETERMINEX_REACT_USER_LEVEL_TEACHING_MODE.md,982,PER_REACT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REPO_CLINIC_FIXTURE_REPAIR_SPLASH_DEMO.md,DETERMINEX_REPO_CLINIC_FIXTURE_REPAIR_SPLASH_DEMO.md,1017,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_REPO_CLINIC_WORKFLOW.md,DETERMINEX_REPO_CLINIC_WORKFLOW.md,1541,PER_ROOM_WORKFLOW,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_SCALE_TO_100_CLAIM_TRUTH_AUDIT_20260529.md,DETERMINEX_SCALE_TO_100_CLAIM_TRUTH_AUDIT_20260529.md,19498,PER_AUDIT_DATED,5,locks/sentinel/DETERMINEX_CATHEDRAL_INDEX_FOUNDATION_LOCK_001.json;locks/sentinel/DETERMINEX_PROOF_OPERATOR_CENTER_MILESTONE_DASHBOARD_LOCK_001.json,2,scripts/status/cathedral_index_foundation.py;scripts/status/proof_operator_center_milestone_dashboard.py;scripts/status/universal_100_data_plane.py,3,,0,,0,REVIEW
docs/DETERMINEX_SPLASH_PATH_RECONCILIATION_AND_PREP.md,DETERMINEX_SPLASH_PATH_RECONCILIATION_AND_PREP.md,2361,PER_RECONCILE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_SUPPORT_CELL_PROMOTION_GATE.md,DETERMINEX_SUPPORT_CELL_PROMOTION_GATE.md,1860,MISC,2,locks/sentinel/DETERMINEX_SUPPORT_CELL_PROMOTION_GATE_LOCK_001.json,1,scripts/status/universal_100_data_plane.py,1,,0,,0,REVIEW
docs/DETERMINEX_TAURI_UNIFIED_PRODUCT_COMMAND_SURFACE.md,DETERMINEX_TAURI_UNIFIED_PRODUCT_COMMAND_SURFACE.md,1706,PER_TAURI,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIFIED_PRODUCT_CAPABILITY_FOUNDATION.md,DETERMINEX_UNIFIED_PRODUCT_CAPABILITY_FOUNDATION.md,3186,PER_UNIFIED_PRODUCT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIFIED_PRODUCT_NAVIGATION_MODEL.md,DETERMINEX_UNIFIED_PRODUCT_NAVIGATION_MODEL.md,1967,PER_UNIFIED_PRODUCT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIFIED_PRODUCT_SPLASH_DEMO_SPEC.md,DETERMINEX_UNIFIED_PRODUCT_SPLASH_DEMO_SPEC.md,1739,PER_UNIFIED_PRODUCT,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
